"Plot","Dom_species","Abundance","Ttl_Trees","richness","bm_pa","BA","TPA","rel_abd","SppCode","Common.name","Genus","Species"
"A5","Mixed",10,24,5,77.0413033070792,98.952532772601,96,41.7,"BLM","Mixed","Acer","nigrum"
"A6","23",20,36,5,58.5259845585812,93.868170495385,144,55.6,"AMB","American beech","Fagus","grandifolia"
"B4","Mixed",10,24,5,35.7028989382366,51.855259239847,96,41.7,"BLM","Mixed","Acer","nigrum"
"B5","Mixed",12,37,6,100.805347087909,128.26817371988,148,32.4,"BOX","Mixed","Acer","negundo"
"B6","9",37,53,4,67.9088367866601,128.631202204295,212,69.8,"JAP","Jack pine","Pinus","banksiana"
"C1","Mixed",11,27,7,97.0843706960691,141.087617075779,108,40.7,"ALD","Mixed","Cornus","alternifolia"
"C4","23",30,37,2,103.727163119198,137.614848196623,148,81.1,"AMB","American beech","Fagus","grandifolia"
"C5","Mixed",16,35,6,101.282871813045,134.449975032473,140,45.7,"BIH","Mixed","Carya","cordiformis"
"C6","23",20,28,4,97.8013819468172,122.943828670515,112,71.4,"AMB","American beech","Fagus","grandifolia"
"C7","Mixed",12,39,8,40.3939860864696,64.3629431581079,156,30.8,"BLM","Mixed","Acer","nigrum"
"D1","Mixed",18,38,7,139.598771247484,169.611096708809,152,47.4,"BLM","Mixed","Acer","nigrum"
"D3","Mixed",14,29,5,115.496194680253,145.632672614128,116,48.3,"AMB","Mixed","Fagus","grandifolia"
"D4","23",27,29,2,110.948339477043,138.601177390156,116,93.1,"AMB","American beech","Fagus","grandifolia"
"D5","Mixed",12,25,5,102.597276089636,135.340684181274,100,48,"AMB","Mixed","Fagus","grandifolia"
"D6","23",16,30,4,78.3782797487404,101.914356513235,120,53.3,"AMB","American beech","Fagus","grandifolia"
"D7","23",18,27,4,28.0395619697094,45.9246304415703,108,66.7,"AMB","American beech","Fagus","grandifolia"
"E1","15",17,31,6,58.4276842934024,85.6917392821046,124,54.8,"BLM","Black maple","Acer","nigrum"
"E3","Mixed",14,40,6,139.776260190328,171.219417614522,160,35,"AMB","Mixed","Fagus","grandifolia"
"E4","23",26,30,4,135.361415987662,166.757265215642,120,86.7,"AMB","American beech","Fagus","grandifolia"
"E5","20",17,33,5,96.5427326065043,134.691203533376,132,51.5,"ALD","Alternate-leaf dogwood","Cornus","alternifolia"
"E6","23",27,36,4,128.944960651347,166.510737458798,144,75,"AMB","American beech","Fagus","grandifolia"
"E7","23",30,46,5,43.5958801517077,70.2894267994111,184,65.2,"AMB","American beech","Fagus","grandifolia"
"F1","Mixed",9,31,9,52.359538924742,76.7438725394427,124,29,"BLM","Mixed","Acer","nigrum"
"F2","Mixed",11,37,4,95.5335192340372,126.227447491986,148,29.7,"ALD","Mixed","Cornus","alternifolia"
"F3","Mixed",12,25,4,101.074118772288,119.196606766483,100,48,"BLM","Mixed","Acer","nigrum"
"F4","23",23,28,2,87.1669999721804,115.692421960792,112,82.1,"AMB","American beech","Fagus","grandifolia"
"F5","15",25,32,2,84.6749432227662,106.752409199764,128,78.1,"BLM","Black maple","Acer","nigrum"
"F6","Mixed",15,42,5,86.0441572001798,114.741217518455,168,35.7,"BOX","Mixed","Acer","negundo"
"F7","Mixed",24,54,4,25.5747961994677,53.2222883764716,216,44.4,"AMB","Mixed","Fagus","grandifolia"
"G2","15",24,40,8,86.3937550621151,122.5371669548,160,60,"BLM","Black maple","Acer","nigrum"
"G3","23",16,28,3,118.169158623745,140.288038112209,112,57.1,"AMB","American beech","Fagus","grandifolia"
"G4","23",19,32,5,109.172285936786,139.590997242193,128,59.4,"AMB","American beech","Fagus","grandifolia"
"G5","Mixed",16,35,5,126.156138600706,151.474725952866,140,45.7,"BLM","Mixed","Acer","nigrum"
"G6","23",18,28,4,77.991596171377,97.6228100487378,112,64.3,"AMB","American beech","Fagus","grandifolia"
"G7","23",17,24,4,51.5657242498095,71.9224004808083,96,70.8,"AMB","American beech","Fagus","grandifolia"
"H2","15",21,29,3,82.024967913861,107.726302922376,116,72.4,"BLM","Black maple","Acer","nigrum"
"H3","Mixed",8,25,7,88.5666870109503,111.759540657579,100,32,"BLM","Mixed","Acer","nigrum"
"H4","23",18,34,4,127.776866920067,155.011853848189,136,52.9,"AMB","American beech","Fagus","grandifolia"
"H5","Mixed",9,35,6,126.811372125426,158.962842942392,140,25.7,"AMB","Mixed","Fagus","grandifolia"
"H6","Mixed",11,32,5,77.3531034872269,96.9927461887679,128,34.4,"BIH","Mixed","Carya","cordiformis"
"H7","Mixed",7,18,5,34.4095884269102,44.6208694903305,72,38.9,"BIH","Mixed","Carya","cordiformis"
"I2","Mixed",9,33,6,37.7883198968209,62.4079562297177,132,27.3,"BLM","Mixed","Acer","nigrum"
"I3","Mixed",8,30,8,54.9312279351081,86.4023064538228,124,26.7,"ALD","Mixed","Cornus","alternifolia"
"I4","20",16,30,5,74.3155714354935,107.58711291453,120,53.3,"ALD","Alternate-leaf dogwood","Cornus","alternifolia"
"I5","23",12,22,3,73.891330804076,91.5167756606357,88,54.5,"AMB","American beech","Fagus","grandifolia"
"I6","23",29,40,4,91.9524215206066,124.854527869136,160,72.5,"AMB","American beech","Fagus","grandifolia"
"J2","Mixed",9,34,6,53.5173873267681,88.5833135203462,136,26.5,"BLM","Mixed","Acer","nigrum"
"J3","15",17,34,4,81.0512241468129,100.375412445289,136,50,"BLM","Black maple","Acer","nigrum"
"J4","Mixed",10,22,7,63.5980410752381,89.9056185948884,88,45.5,"ALD","Mixed","Cornus","alternifolia"
"J5","Mixed",15,32,6,76.2862543842548,102.787021139233,128,46.9,"AMB","Mixed","Fagus","grandifolia"
"J6","23",19,21,3,105.143536377556,114.832847304184,84,90.5,"AMB","American beech","Fagus","grandifolia"
"K3","15",9,17,7,33.004386191413,45.5288770336806,68,52.9,"BLM","Black maple","Acer","nigrum"
"K4","Mixed",6,28,8,96.4771330368308,127.859548508757,112,21.4,"BLM","Mixed","Acer","nigrum"
"K5","23",19,28,3,96.7467932551032,121.926301716602,112,67.9,"AMB","American beech","Fagus","grandifolia"
"K6","23",16,29,5,135.464589724149,159.882631458193,116,55.2,"AMB","American beech","Fagus","grandifolia"
"L3","Mixed",13,41,6,95.2869896921796,137.057651832924,164,31.7,"AMB","Mixed","Fagus","grandifolia"
"L4","Mixed",11,36,8,109.906160877052,138.982095499404,148,30.6,"BLM","Mixed","Acer","nigrum"
"L5","Mixed",10,21,4,85.2553558781488,106.408579337121,84,47.6,"BLM","Mixed","Acer","nigrum"
"M3","Mixed",7,28,10,49.9459078230416,69.2354660973631,112,25,"BLM","Mixed","Acer","nigrum"
"M4","Mixed",11,29,5,126.651424749587,148.22884987647,116,37.9,"AMB","Mixed","Fagus","grandifolia"
"N4","15",17,26,4,80.1592293964073,96.4573664407186,104,65.4,"BLM","Black maple","Acer","nigrum"
"O4","15",12,22,6,85.4463110072239,109.344004972819,88,54.5,"BLM","Black maple","Acer","nigrum"
"O5","Mixed",9,19,6,56.7341409601825,75.6307888089833,76,47.4,"TUP","Mixed","Liriodendron","tulipifera"
"P4","15",13,21,7,47.78727954441,65.4092680446785,84,61.9,"BLM","Black maple","Acer","nigrum"
"P5","15",21,31,5,81.9811124054435,102.410466353115,124,67.7,"BLM","Black maple","Acer","nigrum"
"P6","Mixed",10,30,6,97.0071834757307,133.431293979592,120,33.3,"BLM","Mixed","Acer","nigrum"
"Q4","Mixed",16,33,6,62.7581970386996,99.724622800452,132,48.5,"ALD","Mixed","Cornus","alternifolia"
"Q5","Mixed",9,25,6,73.8721712882889,96.4231143541482,100,36,"AMB","Mixed","Fagus","grandifolia"
"Q6","15",13,23,6,84.8215949000648,104.616344361479,92,56.5,"BLM","Black maple","Acer","nigrum"
"Q7","Mixed",17,35,6,105.8698555378,138.58786925461,140,48.6,"BLM","Mixed","Acer","nigrum"
"R5","15",28,41,6,105.229941874123,139.972569849911,164,68.3,"BLM","Black maple","Acer","nigrum"
"R6","15",16,28,5,62.3247940077465,78.0511241491864,112,57.1,"BLM","Black maple","Acer","nigrum"
"S5","Mixed",16,40,7,117.589125713638,156.448041656424,160,40,"BLM","Mixed","Acer","nigrum"
